,X,Y,Z
0,0.0,3.0625,1.6
1,0.0,3.0625,1.38
2,8.495,5.125,1.5125
3,9.375,3.0625,1.49
4,9.375,3.0625,1.03
5,9.375,3.0625,0.79
6,2.705,5.845,2.1902
7,7.895,5.125,1.0625
8,9.375,3.0625,1.89
9,0.605,5.845,0.2162
10,9.375,3.0625,0.94
11,0.585,5.845,0.1974
12,8.615,5.125,1.6025
13,0.0,3.0625,1.53
14,9.375,3.0625,1.26
15,8.575,5.625,0.5
16,9.375,3.0625,1.68
17,8.955,5.125,1.8575
18,8.575,5.625,1.69
19,8.635,5.125,1.6175
20,0.775,5.845,0.376
21,0.0,3.0625,1.12
22,7.975,5.125,1.1225
23,0.865,5.845,0.4606
24,9.375,3.0625,1.42
25,0.705,5.845,0.3102
26,2.245,5.845,1.7578
27,9.375,3.0625,1.24
28,1.625,5.845,1.175
29,7.945,5.125,1.1
30,0.0,3.0625,1.66
31,6.965,5.125,0.365
32,0.0,3.0625,1.21
33,8.575,5.625,0.49
34,0.0,3.0625,1.42
35,8.915,5.125,1.8275
36,8.575,5.625,0.89
37,8.845,5.125,1.775
38,1.005,5.845,0.5922
39,1.675,5.845,1.222
40,1.815,5.845,1.3536
41,0.0,3.0625,1.01
42,0.785,5.845,0.3854
43,8.485,5.125,1.505
44,2.115,5.845,1.6356
45,9.375,3.0625,1.39
46,9.105,5.125,1.97
47,9.375,3.0625,1.5
48,7.465,5.125,0.74
49,8.575,5.625,1.44
50,8.575,5.625,0.37
51,1.775,5.845,1.316
52,8.365,5.125,1.415
53,8.575,5.625,0.41
54,0.0,3.0625,1.68
55,9.375,3.0625,1.15
56,8.435,5.125,1.4675
57,8.575,5.625,0.36
58,0.0,3.0625,1.34
59,0.615,5.845,0.2256
60,7.085,5.125,0.455
61,9.375,3.0625,0.87
62,8.575,5.625,1.52
63,8.445,5.125,1.475
64,1.335,5.845,0.9024
65,0.0,3.0625,1.22
66,9.375,3.0625,1.18
67,7.575,5.125,0.8225
68,8.785,5.125,1.73
69,8.575,5.625,0.97
70,0.625,5.845,0.235
71,0.0,3.0625,1.03
72,9.135,5.125,1.9925
73,8.705,5.125,1.67
74,8.575,5.625,1.54
75,8.065,5.125,1.19
76,8.765,5.125,1.715
77,9.375,3.0625,1.07
78,2.025,5.845,1.551
79,8.585,5.125,1.58
80,1.605,5.845,1.1562
81,7.625,5.125,0.86
82,9.375,3.0625,1.3
83,8.795,5.125,1.7375
84,7.165,5.125,0.515
85,7.985,5.125,1.13
86,0.0,3.0625,1.58
87,7.865,5.125,1.04
88,9.375,3.0625,1.33
89,1.065,5.845,0.6486
90,2.345,5.845,1.8518
91,8.575,5.625,1.08
92,0.795,5.845,0.3948
93,7.115,5.125,0.4775
94,1.545,5.845,1.0998
95,2.085,5.845,1.6074
96,8.645,5.125,1.625
97,9.375,3.0625,1.73
98,8.575,5.625,0.68
99,7.965,5.125,1.115
100,8.575,5.625,0.43
101,7.755,5.125,0.9575
102,1.735,5.845,1.2784
103,2.755,5.845,2.2372
104,2.225,5.845,1.739
105,1.765,5.845,1.3066
106,8.875,5.125,1.7975
107,8.575,5.625,0.67
108,0.455,5.845,0.0752
109,9.375,3.0625,0.97
110,7.405,5.125,0.695
111,6.945,5.125,0.35
112,9.375,3.0625,1.75
113,8.575,5.625,1.67
114,9.375,3.0625,1.22
115,2.875,5.845,2.35
116,1.235,5.845,0.8084
117,8.575,5.625,1.7
118,8.575,5.625,0.69
119,2.155,5.845,1.6732
120,1.845,5.845,1.3818
121,2.255,5.845,1.7672
122,8.455,5.125,1.4825
123,1.195,5.845,0.7708
124,9.375,3.0625,1.55
125,7.765,5.125,0.965
126,8.575,5.625,1.72
127,8.255,5.125,1.3325
